--- STARTING MAIN ---
Next Valid Id: 8
Account list: U5065515
Error. Id: -1, Code: 2104, Msg: Market data farm connection is OK:usfarm.nj

Error. Id: -1, Code: 2104, Msg: Market data farm connection is OK:usfuture

Error. Id: -1, Code: 2104, Msg: Market data farm connection is OK:usopt

Error. Id: -1, Code: 2104, Msg: Market data farm connection is OK:eufarmnj

Error. Id: -1, Code: 2104, Msg: Market data farm connection is OK:usfarm

Error. Id: -1, Code: 2106, Msg: HMDS data farm connection is OK:euhmds

Error. Id: -1, Code: 2106, Msg: HMDS data farm connection is OK:cashhmds

Error. Id: -1, Code: 2106, Msg: HMDS data farm connection is OK:ushmds

Error. Id: -1, Code: 2158, Msg: Sec-def data farm connection is OK:secdefil

HistoricalData. 4013 - Time: 20250616 09:46:30 America/New_York, Open: 1.47, High: 1.47, Low: 1.37, Close: 1.41, Volume: 308, Count: 50, WAP: 1.409
HistoricalData. 4013 - Time: 20250616 09:47:00 America/New_York, Open: 1.4, High: 1.45, Low: 1.33, Close: 1.35, Volume: 469, Count: 86, WAP: 1.381
HistoricalData. 4013 - Time: 20250616 09:47:30 America/New_York, Open: 1.38, High: 1.38, Low: 1.11, Close: 1.15, Volume: 480, Count: 142, WAP: 1.201
HistoricalData. 4013 - Time: 20250616 09:48:00 America/New_York, Open: 1.15, High: 1.24, Low: 1.14, Close: 1.2, Volume: 926, Count: 162, WAP: 1.194
HistoricalData. 4013 - Time: 20250616 09:48:30 America/New_York, Open: 1.19, High: 1.22, Low: 1.16, Close: 1.19, Volume: 339, Count: 72, WAP: 1.19
HistoricalData. 4013 - Time: 20250616 09:49:00 America/New_York, Open: 1.2, High: 1.7, Low: 1.19, Close: 1.65, Volume: 869, Count: 167, WAP: 1.502
HistoricalData. 4013 - Time: 20250616 09:49:30 America/New_York, Open: 1.67, High: 1.69, Low: 1.6, Close: 1.62, Volume: 852, Count: 199, WAP: 1.634
HistoricalData. 4013 - Time: 20250616 09:50:00 America/New_York, Open: 1.65, High: 1.69, Low: 1.55, Close: 1.61, Volume: 856, Count: 147, WAP: 1.63
HistoricalData. 4013 - Time: 20250616 09:50:30 America/New_York, Open: 1.6, High: 1.71, Low: 1.59, Close: 1.71, Volume: 247, Count: 68, WAP: 1.638
HistoricalData. 4013 - Time: 20250616 09:51:00 America/New_York, Open: 1.72, High: 1.74, Low: 1.61, Close: 1.63, Volume: 344, Count: 110, WAP: 1.687
HistoricalData. 4013 - Time: 20250616 09:51:30 America/New_York, Open: 1.62, High: 1.64, Low: 1.53, Close: 1.56, Volume: 185, Count: 63, WAP: 1.593
HistoricalData. 4013 - Time: 20250616 09:52:00 America/New_York, Open: 1.56, High: 1.6, Low: 1.46, Close: 1.59, Volume: 178, Count: 74, WAP: 1.549
HistoricalData. 4013 - Time: 20250616 09:52:30 America/New_York, Open: 1.61, High: 1.7, Low: 1.61, Close: 1.66, Volume: 308, Count: 36, WAP: 1.678
HistoricalData. 4013 - Time: 20250616 09:53:00 America/New_York, Open: 1.66, High: 1.72, Low: 1.62, Close: 1.66, Volume: 339, Count: 70, WAP: 1.669
HistoricalData. 4013 - Time: 20250616 09:53:30 America/New_York, Open: 1.65, High: 2.12, Low: 1.65, Close: 2.03, Volume: 1135, Count: 246, WAP: 1.85
