20250616 10:23:30 America/New_York,534.36,159.57,116
20250616 10:24:00 America/New_York,534.58,336.62,233
20250616 10:24:30 America/New_York,534.51,303.22,176
20250616 10:25:00 America/New_York,534.43,176.98,135
20250616 10:25:30 America/New_York,534.48,251.15,185
20250616 10:26:00 America/New_York,534.4,208.07,138
20250616 10:26:30 America/New_York,534.54,200.04,146
20250616 10:27:00 America/New_York,534.46,180.68,132
20250616 10:27:30 America/New_York,534.62,172.82,132
20250616 10:28:00 America/New_York,534.73,257.49,195
20250616 10:28:30 America/New_York,534.81,989.6,644
20250616 10:29:00 America/New_York,534.84,381.89,220
20250616 10:29:30 America/New_York,534.81,237.93,148
20250616 10:30:00 America/New_York,534.9,340.63,240
20250616 10:30:30 America/New_York,534.86,427.25,232
20250616 10:31:00 America/New_York,534.77,194.93,177
20250616 10:31:30 America/New_York,534.8,293.8,193
20250616 10:32:00 America/New_York,534.91,549.65,333
20250616 10:32:30 America/New_York,534.98,311.72,192
20250616 10:33:00 America/New_York,534.87,564.03,356
20250616 10:33:30 America/New_York,534.97,219.82,151
20250616 10:34:00 America/New_York,534.93,234.4,146
20250616 10:34:30 America/New_York,534.95,183.24,133
20250616 10:35:00 America/New_York,534.91,893.94,513
20250616 10:35:30 America/New_York,534.91,260.82,187
20250616 10:36:00 America/New_York,534.77,832.19,473
20250616 10:36:30 America/New_York,534.71,581.83,335
20250616 10:37:00 America/New_York,534.62,522.6,308
20250616 10:37:30 America/New_York,534.56,348.41,221
20250616 10:38:00 America/New_York,534.5,659.39,330
20250616 10:38:30 America/New_York,534.59,287.07,148
20250616 10:39:00 America/New_York,534.62,227.87,166
20250616 10:39:30 America/New_York,534.74,217.49,154
20250616 10:40:00 America/New_York,534.64,225.93,173
20250616 10:40:30 America/New_York,534.47,238.18,167
20250616 10:41:00 America/New_York,534.42,236.59,154
20250616 10:41:30 America/New_York,534.51,267.34,150
20250616 10:42:00 America/New_York,534.44,364.59,202
20250616 10:42:30 America/New_York,534.44,475.6,270
20250616 10:43:00 America/New_York,534.59,316.53,194
20250616 10:43:30 America/New_York,534.72,198.48,132
20250616 10:44:00 America/New_York,534.76,264.02,172
20250616 10:44:30 America/New_York,534.81,223.15,130
20250616 10:45:00 America/New_York,534.88,382.08,214
20250616 10:45:30 America/New_York,534.89,203.13,117
20250616 10:46:00 America/New_York,534.83,888.76,496
20250616 10:46:30 America/New_York,534.81,625.4,279
20250616 10:47:00 America/New_York,534.69,561.21,353
20250616 10:47:30 America/New_York,534.67,185.65,113
20250616 10:48:00 America/New_York,534.56,266.9,163
20250616 10:48:30 America/New_York,534.64,136.84,82
20250616 10:49:00 America/New_York,534.57,184.55,105
20250616 10:49:30 America/New_York,534.57,197.27,124
20250616 10:50:00 America/New_York,534.56,301.66,161
20250616 10:50:30 America/New_York,534.44,85.96,59
20250616 10:51:00 America/New_York,534.5,369.74,192
20250616 10:51:30 America/New_York,534.57,135.47,101
20250616 10:52:00 America/New_York,534.55,210.64,120
20250616 10:52:30 America/New_York,534.63,284.42,114
20250616 10:53:00 America/New_York,534.72,391.97,246
20250616 10:53:30 America/New_York,534.65,84.65,76
20250616 10:54:00 America/New_York,534.43,402.52,294
20250616 10:54:30 America/New_York,534.46,189.24,130
20250616 10:55:00 America/New_York,534.46,231.58,154
20250616 10:55:30 America/New_York,534.42,129.98,75
20250616 10:56:00 America/New_York,534.39,158.69,94
20250616 10:56:30 America/New_York,534.42,251.47,141
20250616 10:57:00 America/New_York,534.37,126.9,70
20250616 10:57:30 America/New_York,534.46,216.87,118
20250616 10:58:00 America/New_York,534.34,181.5,94
20250616 10:58:30 America/New_York,534.37,461.61,280
20250616 10:59:00 America/New_York,534.31,124.6,96
20250616 10:59:30 America/New_York,534.47,170.03,103
20250616 11:00:00 America/New_York,534.5,354.8,202
20250616 11:00:30 America/New_York,534.51,175.9,105
20250616 11:01:00 America/New_York,534.68,314.51,181
20250616 11:01:30 America/New_York,534.73,184.55,123
20250616 11:02:00 America/New_York,534.62,154.42,117
20250616 11:02:30 America/New_York,534.78,214.08,161
20250616 11:03:00 America/New_York,534.72,143.52,94
20250616 11:03:30 America/New_York,534.35,181.01,123
20250616 11:04:00 America/New_York,534.43,179.16,123
20250616 11:04:30 America/New_York,534.63,268.67,186
20250616 11:05:00 America/New_York,534.59,333.54,225
20250616 11:05:30 America/New_York,534.44,498.9,334
20250616 11:06:00 America/New_York,534.61,161.2,133
20250616 11:06:30 America/New_York,534.65,329.16,234
