Row Num,Request ID,Date,Time,Strike,Open,High,Low,Close,Volume,Count,WAP
1,4014,20250617,9:30:00,315,14.1,14.1,14.1,14.1,1,1,14.1
2,4014,20250617,9:30:30,315,14.45,14.7,14.45,14.7,3,2,14.533
3,4014,20250617,9:31:00,315,13.98,13.98,13.98,13.98,1,1,13.98
4,4014,20250617,9:31:30,315,13.8,14,13.5,14,5,5,13.7
5,4014,20250617,9:32:00,315,14,14,14,14,0,0,14
6,4014,20250617,9:32:30,315,13.64,13.64,13.5,13.5,3,2,13.593
7,4014,20250617,9:33:00,315,13.8,14.1,13.3,13.3,9,5,13.746
8,4014,20250617,9:33:30,315,13.5,13.5,13.5,13.5,8,1,13.5
9,4014,20250617,9:34:00,315,14,14,14,14,10,1,14
10,4014,20250617,9:34:30,315,14.05,14.05,14.05,14.05,10,1,14.05
11,4014,20250617,9:35:00,315,14.05,14.15,14.05,14.15,15,4,14.083
12,4014,20250617,9:35:30,315,14.33,14.33,14.2,14.2,2,2,14.265
13,4014,20250617,9:36:00,315,13.84,13.84,13.84,13.84,1,1,13.84
14,4014,20250617,9:36:30,315,13.7,13.7,13.4,13.4,18,4,13.683
15,4014,20250617,9:37:00,315,13.65,13.65,13.65,13.65,9,2,13.65
16,4014,20250617,9:37:30,315,14,14,14,14,1,1,14
17,4014,20250617,9:38:00,315,13.46,13.46,13.46,13.46,2,1,13.46
18,4014,20250617,9:38:30,315,13.4,13.4,13.4,13.4,2,1,13.4
19,4014,20250617,9:39:00,315,13.45,13.45,13.45,13.45,1,1,13.45
20,4014,20250617,9:39:30,315,13.54,13.55,13.54,13.55,3,2,13.547
21,4014,20250617,9:40:00,315,13.61,13.61,13.61,13.61,1,1,13.61
22,4014,20250617,9:40:30,315,13.61,13.61,13.61,13.61,0,0,13.61
23,4014,20250617,9:41:00,315,13.3,13.35,13.3,13.35,7,2,13.336
24,4014,20250617,9:41:30,315,13.4,13.4,13.26,13.26,2,2,13.33
25,4014,20250617,9:42:00,315,13.25,13.25,12.75,12.75,22,8,12.939
26,4014,20250617,9:42:30,315,12.75,12.75,12.45,12.65,40,5,12.588
27,4014,20250617,9:43:00,315,12.52,12.52,12.3,12.4,74,7,12.337
28,4014,20250617,9:43:30,315,11.95,12,11.65,11.65,51,16,11.937
29,4014,20250617,9:44:00,315,11.5,11.5,11,11,90,10,11.309
30,4014,20250617,9:44:30,315,10.82,10.93,10.82,10.9,131,24,10.857
31,4014,20250617,9:45:00,315,10.9,10.9,10.48,10.9,3,3,10.76
32,4014,20250617,9:45:30,315,11.1,11.35,11.1,11.35,7,6,11.307
33,4014,20250617,9:46:00,315,11.4,11.4,11.35,11.35,149,23,11.388
34,4014,20250617,9:46:30,315,11.35,11.35,11.35,11.35,0,0,11.35
35,4014,20250617,9:47:00,315,11.65,11.85,11.55,11.55,119,11,11.691
36,4014,20250617,9:47:30,315,11.5,11.5,11.34,11.34,32,3,11.35
37,4014,20250617,9:48:00,315,11.44,11.55,11.3,11.5,14,5,11.399
38,4014,20250617,9:48:30,315,11.6,11.65,11.6,11.65,4,2,11.638
39,4014,20250617,9:49:00,315,11.74,11.8,11.74,11.8,7,3,11.783
40,4014,20250617,9:49:30,315,11.65,11.65,11.65,11.65,20,1,11.65
41,4014,20250617,9:50:00,315,11.75,11.95,11.75,11.95,2,2,11.85
42,4014,20250617,9:50:30,315,12.2,12.2,11.95,11.95,12,2,12.033
43,4014,20250617,9:51:00,315,11.95,11.96,11.8,11.9,86,35,11.926
44,4014,20250617,9:51:30,315,12.15,12.25,12.15,12.15,3,3,12.183
45,4014,20250617,9:52:00,315,12.2,12.37,12.05,12.37,39,9,12.227
46,4014,20250617,9:52:30,315,12.25,12.25,12.2,12.2,18,3,12.231
47,4014,20250617,9:53:00,315,12.21,12.21,12.07,12.07,99,7,12.092
48,4014,20250617,9:53:30,315,11.9,11.9,11.9,11.9,10,1,11.9
49,4014,20250617,9:54:00,315,11.66,11.81,11.6,11.81,120,4,11.653
50,4014,20250617,9:54:30,315,11.81,11.81,11.81,11.81,0,0,11.81
51,4014,20250617,9:55:00,315,11.75,11.75,11.75,11.75,5,1,11.75
52,4014,20250617,9:55:30,315,11.95,11.95,11.95,11.95,9,1,11.95
53,4014,20250617,9:56:00,315,11.87,11.87,11.87,11.87,2,1,11.87
54,4014,20250617,9:56:30,315,11.9,12.45,11.9,12.35,24,10,12.168
55,4014,20250617,9:57:00,315,12.17,12.3,12.17,12.3,11,2,12.182
56,4014,20250617,9:57:30,315,12.3,12.3,12.3,12.3,0,0,12.3
57,4014,20250617,9:58:00,315,12.25,12.25,12.25,12.25,1,1,12.25
58,4014,20250617,9:58:30,315,12.25,12.25,12.25,12.25,0,0,12.25
59,4014,20250617,9:59:00,315,12.2,12.2,12.05,12.05,98,10,12.065
60,4014,20250617,9:59:30,315,12.05,12.05,12.05,12.05,0,0,12.05
61,4014,20250617,10:00:00,315,12.05,12.05,11.81,11.81,7,3,11.981
62,4014,20250617,10:00:30,315,11.7,11.95,11.7,11.95,20,3,11.763
63,4014,20250617,10:01:00,315,12.15,12.25,12.15,12.25,6,2,12.233
64,4014,20250617,10:01:30,315,12.07,12.07,11.9,11.9,8,3,11.943
65,4014,20250617,10:02:00,315,11.9,11.9,11.9,11.9,0,0,11.9
66,4014,20250617,10:02:30,315,11.77,11.77,11.77,11.77,2,1,11.77
67,4014,20250617,10:03:00,315,12.15,12.15,12.15,12.15,20,7,12.15
68,4014,20250617,10:03:30,315,12.08,12.1,12.05,12.05,4,3,12.078
69,4014,20250617,10:04:00,315,12,12,12,12,3,1,12
70,4014,20250617,10:04:30,315,11.85,11.85,11.85,11.85,13,5,11.85
71,4014,20250617,10:05:00,315,11.6,11.65,11.58,11.65,4,3,11.607
72,4014,20250617,10:05:30,315,11.65,11.65,11.65,11.65,2,1,11.65
73,4014,20250617,10:06:00,315,11.5,11.54,11.45,11.54,17,3,11.49
74,4014,20250617,10:06:30,315,11.54,11.54,11.54,11.54,0,0,11.54
75,4014,20250617,10:07:00,315,11.75,11.8,11.7,11.7,10,4,11.76
76,4014,20250617,10:07:30,315,11.83,11.9,11.77,11.77,5,4,11.82
77,4014,20250617,10:08:00,315,12.1,12.1,12,12,37,10,12.073
78,4014,20250617,10:08:30,315,11.9,11.9,11.9,11.9,3,3,11.9
79,4014,20250617,10:09:00,315,11.9,11.9,11.9,11.9,0,0,11.9
80,4014,20250617,10:09:30,315,12.05,12.05,12.05,12.05,3,1,12.05
81,4014,20250617,10:10:00,315,12.05,12.05,12.05,12.05,0,0,12.05
82,4014,20250617,10:10:30,315,12.1,12.1,12.1,12.1,1,1,12.1
83,4014,20250617,10:11:00,315,12.53,12.53,12.53,12.53,1,1,12.53
84,4014,20250617,10:11:30,315,12.25,12.25,12.15,12.15,5,2,12.17
85,4014,20250617,10:12:00,315,12.5,12.5,12.5,12.5,1,1,12.5
86,4014,20250617,10:12:30,315,12.45,12.45,12.45,12.45,1,1,12.45
87,4014,20250617,10:13:00,315,12.7,12.7,12.52,12.52,22,4,12.591
88,4014,20250617,10:13:30,315,12.52,12.52,12.52,12.52,0,0,12.52
